用語,AI キーワード,ヨミカタ,作成日時,最終更新日時,最終更新者,略語・別称,説明
akamai,CDN技術,アカマイ,2023年3月20日 18:13,2025年4月7日 8:25,Yohei Sugisaki,　,CDNを提供する会社。mTGもakamaiのCDNを利用している。
アクションポイント,"ポイントプログラム, 新しいサービス, 顧客サービス",アクションポイント,2023年3月20日 18:13,2026年3月29日 10:46,Yohei Sugisaki,AcP,"myTOKYOGAS
  会員に対するポイント付与において、毎月の料金連動に伴って付与するポイント以外で、ログインや特定のアクション（広告をクリック等）に伴って付与するポイント。"
1x,"ガス管理, データ管理, メーター管理",イチペケ,2023年3月20日 18:13,2025年4月7日 8:26,Yohei Sugisaki,　,ガスメータに関する情報(設置場所、取り付け日、開栓状態等）を持つテーブル。
移転閉栓,移転手続き,イテンヘイセン,2023年3月20日 18:13,2025年4月7日 8:26,Yohei Sugisaki,　,お客さまの移転（引越し）によって閉栓すること。
一括請求,"ガス料金計算, 料金管理, 請求サービス",イッカツセイキュウ,2023年3月20日 18:13,2025年4月7日 8:26,Yohei Sugisaki,　,2件以上のガス使用契約がある場合に、ガス使用契約ごとの複数のガス料金を一括（まとめ）して、合計金額で請求するサービス。請求方法が「払込み」の場合、合計金額の払込書（１枚）を発行する。「口座振替」の場合、合計金額を口座から一括振替（引落）する。
異名義契約,"ガス契約管理, 契約用語, 契約管理",イメイギケイヤク,2023年3月20日 18:13,2025年4月7日 8:26,Yohei Sugisaki,　,使用者と料金支払者が別に存在する契約のこと（使用者≠支払者）
SPA,"アプリケーション, ウェブ技術, フロントエンド開発",エスピーエー,2023年3月20日 18:13,2025年4月7日 8:27,Yohei Sugisaki,　,"Single Page Applicationの略称。
    単一のページでコンテンツの切り替えを行うWebアプリケーションの設計方法。
    初回のアクセスのみサーバから返却されたHTMLを表示し、２回目以降は差分情報の取得及び更新を行う。"
WebView,ウェブ技術,ウェブビュー,2023年3月20日 18:13,2025年4月7日 8:26,Yohei Sugisaki,　,HTMLコンテンツを、ネイティブアプリ内で表示できるようにすること。
SVN,"システム, ドキュメント管理, バックエンド処理",エスブイエヌ,2023年3月20日 18:13,2025年6月4日 17:54,Ayaka Nakamichi,　,"ソースコードのバージョン管理システムの一種。
昔のmTGの設計書やバックエンドの設計書はここに保管されている。"
MPA,"ウェブアプリケーション, デザイン原則, フロントエンド開発",エムピーエー,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"Multi Page Applicationの略称。
    複数のページで構成されるWebアプリケーションの設計方法。
    従来通り、サーバから返却されたHTMLをブラウザに表示する。"
オーナー個別,"ガス契約管理, 請求サービス, 顧客サービス",オーナーコベツ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,検針回分・検針方法・支払方法が同一である2件以上のガス使用契約がある場合に、請求書を一箇所へまとめて送付するサービス。請求方法が「払込み」の場合、ガス使用契約ごとの個別の払込書を一つの封筒に入れて送付。「口座振替」の場合、ガス使用契約ごとに個別に振替し、個別の振替済領収証を一つの封筒に入れて送付する。
お客さま検針,"ガス管理, メーター管理, 顧客サービス",オキャクサマケンシン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,客検,お客さま検針の略称。
お客さまセンター,"顧客サービス, 顧客対応, 顧客管理",オキャクサマセンター,2023年3月20日 18:13,2023年11月20日 17:19,和田理恵,"お客さまC, 客C",お客さまからのお申し出・お問合せのフロント。お客さまセンターの略称。
お客さまポータル,"会員管理, 顧客サービス, 顧客管理システム",オキャクサマポータル,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,myTOKYOGAS、cp、お客様ポータル,「ガス・電気のお客様にお得な情報や料金・使用料等が参照」できる会員サイトと「電気のお申込み」ができる非会員サイトの総称。
お知らせコンテンツ,"契約管理, 料金管理, 顧客サービス",オシラセコンテンツ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"契約更新・約款変更・料金改定のお知らせなど、お知らせ欄に表示されるコンテンツ
    （お知らせコンテンツの例）
    ・電気、家庭用選択約款の契約更新のお知らせ（事業法対応）　
    ・約款変更、料金改定等の周知（事業法対応）
    ・保安周知→お客さま保安部にてHPでの対応を検討中
    ・システム対応のお知らせ（CIRIUS)"
オムニチャネル,"小売業務, 新しいサービス, 顧客管理",オムニチャネル,2023年3月20日 18:13,2026年3月29日 10:47,Yohei Sugisaki,オムニ,"小売業における販売戦略の一つ。実店舗、通販サイト、コーポレートサイト、アプリなど、販売経路を統合し、あらゆる接点を使って情報提供や販売促進などを行う戦略のこと。
※引用元：https://www.otsuka-shokai.co.jp/words/omni-channel.html
東京ガスにおけるオムニチャネルとしては、顧客管理（TG-CRM）、次期THANKSである受付基盤・履歴基幹、リコメンド管理（TG-MA）、マーケティング支援（DMP）、分析基盤（ANNA・ELSA・DM/DAM）が対象となる。"
Oracle IDCS,"クラウドサービス, システム, ユーザー認証",オラクルアイディーシーエス,2023年3月20日 18:13,2025年4月16日 23:16,Yusuke Sugiyama,　,"Oracle Identify Cloud Service。Oracle
  Cloudで提供されるID管理・認証基盤を指す。"
オンプレミス,"システム, 新技術",オンプレミス,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,サーバやソフトウェアなどの情報システムを、使用者が管理している施設の構内に設置して運用すること。（例：幕張）
回分,"ガス管理, 顧客管理",カイブン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,正式には検針回分のこと。東京ガスでは、回分ごとに検針が管理されており、1回から18回までの18回分にわかれている。それぞれの月毎に各検針回分の検針日、口座振替日などが指定されている。
開栓,"ガスサービス, ガス業務改革, 顧客サービス管理",カイセン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,ガス栓を開く事。ガス栓を開く事で、ガス使用開始となる。主に新しい居住者が入居した際に行う。
ガス使用契約,"ガスサービス, ガス契約管理, 契約管理",ガスシヨウケイヤク,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,東京ガスの供給圏内において、東京ガスと契約してガスを使用する旨の契約。番号は4x（よんぺけ）と呼ばれることが多い。
家選,,カセン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,家庭用選択約款の略称。
ガスメーター設置場所,"ガスサービス, ガス管理, 設置情報",ガスメーターセッチバショ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,メーター設置場所,お客さまのガスメーターを設置してある場所。東京ガスの供給圏内のお客さまのみが保持しうる。番号は1x（いちぺけ）と呼ばれることが多い。
季節閉栓,"ガスサービス, ガス管理, 業務プロセス",キセツヘイセン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,ガス使用契約者の変更を伴わない一時的な閉栓。冬期暖房時のみ使用するメータの春季閉栓が多い。閉栓作業もガス料金精算を行わないなど業務取扱いが移転閉栓より簡略である。
供給区域,"ガス・電気, 政府機関, 業界用語",キョウキュウクイキ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,一般ガス事業者が経済産業大臣の許可を得て、ガス供給を行なえる区域。エリア外対応とは、この供給区域外におけるサービス・販売活動の事を指す。
cloak,"システム統合, 情報連携, 顧客管理システム",クローク,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,JRK、情報連携キー基盤,"各連携システム（商材・コミュニケーションチャネル）の契約管理システムが保有するお客さまキーと契約キーを収集し、同一のお客さまと特定できた複数のお客さまキーの紐付を管理する基盤システム。この基盤の活用により、各アプリケーションでは複数商材横断でのお客さまキーと契約キーの紐付と主キーの照会が可能となる。
    本基盤は、サービス情報基盤を構成する基盤の1つであり、他にAPI連携基盤・API共通実行基盤が存在する。"
口振,"システム, 社内用語, 金融業界",コウフリ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,口座振替,支払方法の１つ。口座振替のことを略して口振と呼ぶことが多い
契約事務センター,契約管理,ケイヤクジムセンター,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,契約事務について扱う部署。
広告コンテンツ,"mTG/myTOKYOGAS, サービス, 新規顧客獲得",コウコクコンテンツ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"販促やサービスのキャンペーンプロモーションなど、広告バナーに表示されるコンテンツ。
    （広告コンテンツの例）
    ・電気契約販売促進
    ・ガス機器スペシャルサポート販売促進
    ・myTOKYOGAS加入促進"
号変,"ガス・電気, スマートメーター, 新技術",ゴウヘン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,メーターの大きさ。使用量によってメーターの大きさを変えること。
サービス契約,"ガス・電気, サービス, サービス契約管理",サービスケイヤク,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,TESメンテナンスサービスなど、ガス使用以外の、付随的なサービスに関する契約一般の総称。
コンテナ基盤,"ITインフラ, ガス・電気, システム",コンテナキバン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,コンテナアプリケーションを開発・実行する基盤のこと。コンテナエンジンやOSが該当する。
THANKS,"ガス・電気, サービス, ユーティリティ管理, 業務連携, 社内用語, 顧客サービス管理",サンクス,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,お客さまからの開閉栓・機器修理等の受付～作業余力管理～業務連絡票発行の一連業務について一元管理を行う。
3x,"ガス・電気, サービス, データベース",サンペケ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,お客様に関する情報を持つテーブル。
GHP,"ガス・電気, システム, 新エネルギー",ジーエイチピー,2023年3月20日 18:13,2025年1月28日 14:39,岩渕健一,　,ガスヒートポンプ、ガスを利用したエアコンのこと。エアコンはヒートポンプと呼ばれる仕組みで暖房/冷房を行うがそのヒートポンプをガスエンジンで動かす。
CMS,"サービス, システム, デジタルコンテンツ管理",シーエムエス,2023年3月20日 18:13,2023年11月20日 17:20,和田理恵,　,Contents Management Systemの略。ウェブコンテンツを構成するテキストや画像等を体系的に管理し、配信などの処理を行うシステムのこと。
自動検針システム,"ガス・電気, システム, 自動化技術",ジドウケンシンシステム,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,ＣＩＳから検針依頼データを検針回分単位で受け、マイコンメーターとの通信により自動的に検針し、検針結果（指針値、検針不能分はその理由）をＣＩＳへ返送する。
支払契約（2x）,"サービス, システム, 金融サービス",シハライケイヤクカッコニペケ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"お客さまの支払契約に関する情報（支払方法、口座、金額等）を持つテーブル。
    キー体系が支払契約番号（2x）+世代管理番号である為、支払契約（2x）と称している認識。
    CIRIUSのテーブル。子テーブルには、支払方法毎の口座振替関連情報、カード払い関連情報、払込関連情報が存在する。"
集合物件,"不動産用語, 業界用語, 物件管理システム",シュウゴウブッケン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,マンション・アパートなどを指す。
shufoo!,"クラウドサービス, サービス, システム",シュフー,2023年3月20日 18:13,2025年1月6日 12:57,岩渕健一,　,"shufoo!というチラシアプリのクラウドを指す。
昔のmyTOKYOGASアプリはShufoo!のアプリをベースに構築・運用していたので、その名残が各所に残っている。"
所有機器,"サービス, システム, 社内用語, 運用システム, 顧客機器管理",ショユウキキ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,お客さまの所有する機器を指す。
CIRIUS,"ガス・電気, ガス業務改革, システム, 新システム, 顧客情報管理",シリウス,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"ガス料金業務全般を取り扱う、東京ガスグループにおける最大の基幹システムである「CIS」を再構築したシステム。
    システム名の由来は
    Customer Information Relational - and - Independent United Systems
    （関係性と独立性を持った、お客さま情報システム連合体）
    
    以下を実現する事を目的に再構築された。（2019/5：１期稼働、2021/1：２期稼働）
    1. 大規模障害リスクの低減と障害に強いシステムの実現
    2. 政策対応力の向上を目指した事業変化に強いシステム・事業プロセスの実現
    3. システム再構築に合わせた業務改革・コストダウン
    
   
  ガスビジネスに関する「受付」「契約管理」「料金計算」「請求・回収」業務およびそれに付随する管理業務が範囲。（域外は対象外）　※「受付」は未対応
    将来は、電気・熱料金や付帯サービス等、ガスビジネス以外の契約管理に関する業務も範囲として検討されている。"
Super-X(SuperX),"ガス・電気, 料金計算, 顧客管理システム",スーパーエックス,2023年3月20日 18:13,2025年6月18日 10:24,Gakuyou Tomita,域外CIS,"域外（東京ガスの供給エリア外）ガスのCIS（Customer Information
  System）。
   
  域外ガスに関するお客さま情報を取り扱うシステム。ガス事業向けの販売管理・料金計算・顧客情報管理システム。"
ずっともガス,"ガス・電気, ガス料金, サービス, ポイント制度, 新料金プラン",ズットモガス,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,東京ガスのガス自由料金メニュー。毎月のガス料金1000円（税込み）につき5ポイントのパッチョポイントを付与。
ずっとも電気,"ガス・電気, サービス, ポイントプログラム, 電力サービス, 顧客サービス",ズットモデンキ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,東京ガスの低圧電力メニュー。ずっとも電気1S、ずっとも電気1、ずっとも電気2については、毎月の電気料金1000円（税込み）につき15ポイントのパッチョポイントを付与。
スマメセンターシステム,"ガス・電気, サービス, システム, スマートメータ統合, 小売業務基盤, 遠隔制御システム",スマメセンターシステム,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,各スマートメータのデータ（使用量・警報等）・遠隔開閉栓機能を各業務システムに提供する基盤システム。小売りCIRIUSはスマメセンターシステムから検針値を受領する。
総合メータ,"ガス・電気, サービス, 契約サービス",ソウゴウメータ,2023年3月20日 18:13,2023年11月20日 17:20,和田理恵,　,1つのガス使用契約に対してメータが複数設置され、使用量合算後に料金計算が実施される契約サービスのこと。
DAM,"システム, デジタル資産管理, 業界用語",ダム,2023年3月20日 18:13,2023年11月20日 17:20,和田理恵,　,Digital Asset Management（デジタルアセットマネジメント）。さまざまなデジタルデータを集約、メタ情報を付与し、必要な情報に容易にアクセスできるようにする。
チケット,"システム, タスク管理, 業界用語",チケット,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,backlogに追加するタスク（課題等含む）を指す。
TG-MA,"デジタルマーケティング, 顧客エンゲージメント",ティージーエムエー,2023年3月20日 18:13,2025年1月14日 18:52,Ayaka Nakamichi,MA,"MA（マーケティングオートメーション）とは、顧客との1to1コミュニケーションを実現するデジタルマーケティングプラットフォーム。「あらかじめシナリオを組込み、顧客行動をトリガーとして、メッセージを自動配信する」や「マルチチャネル（メール、モバイル、ウェブ、ソーシャルメディア等）で、メッセージを配信する」事が可能。mTG会員に対する各種通知（mTG会員による操作に伴うメール配信、料金確定通知、ポイント付与通知、ポイント失効通知、使いすぎ予報通知など）はTG-MAが担う。
なお、MAツールは「Salesforce Marketing Cloud」。
アプリのPush通知でも利用している。
    
    システム和名：配信管理システム
    システム英名：TOKYOGAS Marketing Automation"
TGｰCARS,"ガス・電気, サービス, サービス統合, システム, 業務効率化, 顧客管理システム",ティージーカーズ,2023年3月20日 18:13,2023年6月23日 18:48,Nobuhiro Kobayashi,　,"リビング営業社員向けにお客さま情報をキーに、必要な各種サービスのご提案・申込が出来るプラットホームシステム。iOS及びイントラで動作しており、受付申込業務（電力受付、今後TGで予定しているサービスのお客さま受付・申込など）の簡略化を目的としている。主な機能は、DukeIDログインによるお客さま番号でのお客さま情報検索・照会、各種サービスの申込、営業支援ツール（契約情報・所有機器・接客履歴照会、シミュレーション、レコメンドサービス、ガス機器カタログ（TG-AIRS））、災害復旧システム（TGーDRESS）との連携など。
    システム和名：東京ガス顧客契約照会システム
    システム英名：TOKYOGAS Customer Account Reference System"
TG-CRM,"契約管理, 情報連携, 顧客管理システム",ティージーシーアールエム,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,CRM,"東京ガスリビングサービス本部の顧客情報を管理するシステム。各契約管理システムから「契約情報」を、情報連携キー基盤（Cloak）経由で収集し、「顧客」を生成する。その「顧客」に対し、各受付系システムから収集した「申込情報」を紐づけて「統合顧客化」する。「統合顧客化された顧客」は、過去の契約も含め、その顧客に関連する契約が一元的に参照できるようになる。
    ※引用元：システムカルテ
    システム和名：東京ガスお客さま情報統合管理システム
    システム英名：TOKYOGAS Customer Relationship Management System
    なお、各契約管理システムから収集したキー情報の名寄せは、Ax（お客さまの束ね）・Bx（契約の束ね）というキー体系で行っている。"
TGCS,"アウトソーシング, サービス, 業務プロセス, 業界用語, 顧客サービス",ティージーシーエス,2023年3月20日 18:13,2023年11月20日 17:21,和田理恵,　,"東京ガスカスタマーサービス会社の略称。支店業務の検針・料金収納・ガス設備安全点検をアウトソーシングした会社。TG社内ではTGCSと言った場合、他に[TG Credit Service,Total Gas Control System]を指すこともある。"
定期保安巡回,"ガス・電気, システム, 安全点検",テイキホアンジュンカイ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,定保,ガス設備安全点検。内管の漏洩と点検対象機種の安全燃焼確認等を３年に一度行う法定点検のこと。
